Unit,Parameter,Time,Value,Scenario
El_PV,fix_units_on,2019-01-12T16:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T17:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-12T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T08:00:00,0.001,Base
El_PV,fix_units_on,2019-01-13T09:00:00,0.023,Base
El_PV,fix_units_on,2019-01-13T10:00:00,0.023,Base
El_PV,fix_units_on,2019-01-13T11:00:00,0.016,Base
El_PV,fix_units_on,2019-01-13T12:00:00,0.021,Base
El_PV,fix_units_on,2019-01-13T13:00:00,0.012,Base
El_PV,fix_units_on,2019-01-13T14:00:00,0.001,Base
El_PV,fix_units_on,2019-01-13T15:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T16:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T17:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-13T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T08:00:00,0.045,Base
El_PV,fix_units_on,2019-01-14T09:00:00,0.168,Base
El_PV,fix_units_on,2019-01-14T10:00:00,0.323,Base
El_PV,fix_units_on,2019-01-14T11:00:00,0.391,Base
El_PV,fix_units_on,2019-01-14T12:00:00,0.348,Base
El_PV,fix_units_on,2019-01-14T13:00:00,0.206,Base
El_PV,fix_units_on,2019-01-14T14:00:00,0.04,Base
El_PV,fix_units_on,2019-01-14T15:00:00,0.0,Base
El_PV,fix_units_on,2019-01-14T16:00:00,0.0,Base
